scenario_id,bus,vm_before_pu,vm_after_pu,q_control_pu,violation_before_pu,violation_after_pu,is_violation_before,is_violation_after,feeder
0,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
0,1,0.8783149417378986,0.9215149417378986,0.0,0.07168505826210136,0.028485058262101348,1,1,radial_15
0,2,0.7932627375257424,0.8731827375257424,0.0,0.15673726247425757,0.07681726247425757,1,1,radial_15
0,3,0.7659002902548405,0.8645402902548405,0.0,0.18409970974515943,0.08545970974515948,1,1,radial_15
0,4,0.7512205667345588,0.8642605667345589,0.18,0.19877943326544112,0.08573943326544109,1,1,radial_15
0,5,0.7594444560039245,0.8501644560039245,0.0,0.19055554399607544,0.09983554399607542,1,1,radial_15
0,6,0.7301358451840443,0.8323758451840443,0.0,0.21986415481595567,0.11762415481595567,1,1,radial_15
0,7,0.7040383516407553,0.8199583516407554,0.0,0.2459616483592446,0.1300416483592446,1,1,radial_15
0,8,0.6920655141521918,0.8209455141521919,0.18,0.2579344858478082,0.1290544858478081,1,1,radial_15
0,9,0.8274520757928465,0.8836120757928466,0.0,0.12254792420715344,0.06638792420715334,1,1,radial_15
0,10,0.7961292922663132,0.8623692922663134,0.0,0.15387070773368672,0.08763070773368653,1,1,radial_15
0,11,0.7632524337803602,0.8438924337803604,0.0,0.18674756621963973,0.10610756621963957,1,1,radial_15
0,12,0.7467490153606713,0.8403490153606714,0.18,0.20325098463932867,0.10965098463932854,1,1,radial_15
0,13,0.7492133241168855,0.8590133241168855,0.0,0.2007866758831145,0.09098667588311449,1,1,radial_15
0,14,0.7359303901409135,0.8597703901409136,0.18,0.2140696098590864,0.09022960985908635,1,1,radial_15
1,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
1,1,0.9043879932590598,0.9475879932590598,0.0,0.045612006740940125,0.002412006740940109,1,1,radial_15
1,2,0.8359907338969167,0.9159107338969168,0.0,0.11400926610308326,0.03408926610308316,1,1,radial_15
1,3,0.813106992609856,0.911746992609856,0.0,0.13689300739014398,0.03825300739014392,1,1,radial_15
1,4,0.8010772223444556,0.9141172223444556,0.18,0.1489227776555444,0.03588277765554437,1,1,radial_15
1,5,0.8090449482500853,0.8997649482500855,0.0,0.14095505174991463,0.050235051749914494,1,1,radial_15
1,6,0.7860324407970529,0.8882724407970531,0.0,0.16396755920294703,0.06172755920294681,1,1,radial_15
1,7,0.7654985056517709,0.881418505651771,0.0,0.18450149434822904,0.06858149434822891,1,1,radial_15
1,8,0.7558071608211897,0.8846871608211898,0.18,0.19419283917881025,0.06531283917881014,1,1,radial_15
1,9,0.8657412243806046,0.9219012243806047,0.0,0.08425877561939532,0.028098775619395222,1,1,radial_15
1,10,0.8419584543831021,0.9081984543831022,0.0,0.10804154561689783,0.04180154561689775,1,1,radial_15
1,11,0.816811213833443,0.8974512138334431,0.0,0.13318878616655694,0.05254878616655689,1,1,radial_15
1,12,0.8046205234011438,0.8982205234011438,0.18,0.1453794765988562,0.05177947659885618,1,1,radial_15
1,13,0.7992248923464007,0.9090248923464008,0.0,0.15077510765359925,0.04097510765359913,1,1,radial_15
1,14,0.7884888610074652,0.9123288610074654,0.18,0.16151113899253478,0.0376711389925346,1,1,radial_15
2,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
2,1,0.8981934867265418,0.9413934867265417,0.0,0.0518065132734582,0.008606513273458294,1,1,radial_15
2,2,0.8243159402613731,0.904235940261373,0.0,0.12568405973862684,0.04576405973862696,1,1,radial_15
2,3,0.7999671984241995,0.8986071984241993,0.0,0.15003280157580046,0.05139280157580062,1,1,radial_15
2,4,0.7874979787650168,0.9005379787650167,0.18,0.16250202123498314,0.04946202123498322,1,1,radial_15
2,5,0.7952650381010411,0.885985038101041,0.0,0.15473496189895886,0.06401496189895894,1,1,radial_15
2,6,0.7693471207233762,0.8715871207233761,0.0,0.18065287927662377,0.07841287927662388,1,1,radial_15
2,7,0.7463180369359266,0.8622380369359265,0.0,0.20368196306407338,0.08776196306407347,1,1,radial_15
2,8,0.7353739633645802,0.86425396336458,0.18,0.2146260366354198,0.08574603663541991,1,1,radial_15
2,9,0.8588908921550025,0.9150508921550023,0.0,0.09110910784499748,0.03494910784499761,1,1,radial_15
2,10,0.8342449444211565,0.9004849444211565,0.0,0.11575505557884347,0.0495150555788435,1,1,radial_15
2,11,0.8084433847059403,0.8890833847059403,0.0,0.1415566152940596,0.06091661529405967,1,1,radial_15
2,12,0.7959217463903967,0.8895217463903967,0.18,0.15407825360960326,0.06047825360960324,1,1,radial_15
2,13,0.7853804733276718,0.8951804733276716,0.0,0.16461952667232815,0.05481952667232837,1,1,radial_15
2,14,0.7735684782857055,0.8974084782857052,0.18,0.17643152171429444,0.05259152171429471,1,1,radial_15
3,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
3,1,0.9237270124505659,0.9669270124505658,0.0,0.02627298754943408,0.0,1,0,radial_15
3,2,0.8677365436544885,0.9476565436544884,0.0,0.08226345634551147,0.0023434563455115853,1,1,radial_15
3,3,0.8492816525025443,0.9479216525025441,0.0,0.10071834749745567,0.0020783474974558347,1,1,radial_15
3,4,0.8392269472213788,0.9522669472213786,0.18,0.11077305277862115,0.0,1,0,radial_15
3,5,0.8455987335845849,0.9363187335845848,0.0,0.10440126641541503,0.013681266415415116,1,1,radial_15
3,6,0.8260315244773291,0.9282715244773291,0.0,0.12396847552267087,0.021728475522670876,1,1,radial_15
3,7,0.8080522474769881,0.923972247476988,0.0,0.14194775252301184,0.026027752523011927,1,1,radial_15
3,8,0.7989928262646401,0.9278728262646401,0.18,0.15100717373535988,0.022127173735359884,1,1,radial_15
3,9,0.8946442936710068,0.9508042936710067,0.0,0.055355706328993115,0.0,1,0,radial_15
3,10,0.876549747669407,0.9427897476694068,0.0,0.07345025233059299,0.0072102523305931365,1,1,radial_15
3,11,0.8583615687584571,0.9390015687584571,0.0,0.0916384312415428,0.010998431241542872,1,1,radial_15
3,12,0.8490869753264527,0.9426869753264527,0.18,0.10091302467354724,0.007313024673547219,1,1,radial_15
3,13,0.8380579195742294,0.9478579195742292,0.0,0.11194208042577058,0.002142080425770798,1,1,radial_15
3,14,0.8286570602965051,0.9524970602965048,0.18,0.12134293970349486,0.0,1,0,radial_15
4,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
4,1,0.8946632031125992,0.9378632031125991,0.0,0.055336796887400785,0.01213679688740088,1,1,radial_15
4,2,0.8189785557182018,0.8988985557182017,0.0,0.13102144428179818,0.0511014442817983,1,1,radial_15
4,3,0.7927360278664959,0.8913760278664957,0.0,0.15726397213350407,0.05862397213350423,1,1,radial_15
4,4,0.7786683566834508,0.8917083566834507,0.18,0.17133164331654915,0.058291643316549235,1,1,radial_15
4,5,0.7901498883872848,0.8808698883872847,0.0,0.15985011161271512,0.0691301116127152,1,1,radial_15
4,6,0.7646249343396366,0.8668649343396366,0.0,0.18537506566036333,0.08313506566036333,1,1,radial_15
4,7,0.7413151065092592,0.8572351065092593,0.0,0.2086848934907407,0.09276489349074069,1,1,radial_15
4,8,0.7296661768951057,0.8585461768951057,0.18,0.22033382310489424,0.09145382310489425,1,1,radial_15
4,9,0.8523236365839044,0.9084836365839043,0.0,0.09767636341609554,0.04151636341609566,1,1,radial_15
4,10,0.8261782083423198,0.8924182083423197,0.0,0.12382179165768015,0.05758179165768029,1,1,radial_15
4,11,0.7991601522418125,0.8798001522418123,0.0,0.15083984775818748,0.07019984775818766,1,1,radial_15
4,12,0.7857999856263717,0.8793999856263714,0.18,0.1642000143736283,0.0706000143736285,1,1,radial_15
4,13,0.7776914891786793,0.8874914891786791,0.0,0.1723085108213207,0.0625085108213208,1,1,radial_15
4,14,0.7655676170394503,0.8894076170394503,0.18,0.18443238296054965,0.060592382960549696,1,1,radial_15
5,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
5,1,0.8918579064831844,0.9350579064831844,0.0,0.05814209351681554,0.014942093516815524,1,1,radial_15
5,2,0.8137801821933784,0.8937001821933784,0.0,0.1362198178066215,0.05629981780662152,1,1,radial_15
5,3,0.7887175697150587,0.8873575697150587,0.0,0.16128243028494127,0.06264243028494121,1,1,radial_15
5,4,0.7732605954804307,0.8863005954804307,0.18,0.17673940451956927,0.06369940451956924,1,1,radial_15
5,5,0.7816842748887914,0.8724042748887915,0.0,0.16831572511120851,0.07759572511120849,1,1,radial_15
5,6,0.7532981139749215,0.8555381139749215,0.0,0.19670188602507843,0.09446188602507843,1,1,radial_15
5,7,0.7275548034787398,0.8434748034787398,0.0,0.22244519652126016,0.10652519652126013,1,1,radial_15
5,8,0.7154786569802821,0.8443586569802821,0.18,0.23452134301971783,0.10564134301971784,1,1,radial_15
5,9,0.8482845103661232,0.9044445103661232,0.0,0.10171548963387678,0.04555548963387679,1,1,radial_15
5,10,0.8217865604432603,0.8880265604432603,0.0,0.1282134395567397,0.06197343955673962,1,1,radial_15
5,11,0.7938677186075992,0.8745077186075993,0.0,0.15613228139240076,0.0754922813924006,1,1,radial_15
5,12,0.7801656290492646,0.8737656290492647,0.18,0.1698343709507354,0.07623437095073526,1,1,radial_15
5,13,0.7750239540671118,0.8848239540671118,0.0,0.17497604593288818,0.06517604593288817,1,1,radial_15
5,14,0.7635438272484171,0.8873838272484171,0.18,0.18645617275158288,0.06261617275158282,1,1,radial_15
6,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
6,1,0.8802273256970783,0.9234273256970782,0.0,0.06977267430292167,0.02657267430292176,1,1,radial_15
6,2,0.7929894672914289,0.8729094672914289,0.0,0.15701053270857102,0.07709053270857102,1,1,radial_15
6,3,0.7619367495954077,0.8605767495954078,0.0,0.18806325040459226,0.0894232504045922,1,1,radial_15
6,4,0.7443224662586865,0.8573624662586865,0.18,0.20567753374131348,0.09263753374131345,1,1,radial_15
6,5,0.7601384396597594,0.8508584396597594,0.0,0.1898615603402406,0.09914156034024058,1,1,radial_15
6,6,0.7313707336534547,0.8336107336534547,0.0,0.21862926634654523,0.11638926634654523,1,1,radial_15
6,7,0.7068208512380026,0.8227408512380027,0.0,0.2431791487619973,0.1272591487619973,1,1,radial_15
6,8,0.6944928566457709,0.8233728566457709,0.18,0.2555071433542291,0.1266271433542291,1,1,radial_15
6,9,0.8356033612169297,0.8917633612169296,0.0,0.11439663878307027,0.058236638783070394,1,1,radial_15
6,10,0.8076394210372476,0.8738794210372475,0.0,0.14236057896275234,0.07612057896275248,1,1,radial_15
